 time            v(Vtop)         v(Vtop_int)    
 0.00000000e+00  0.00000000e+00  0.00000000e+00 
 2.00000000e-10  8.02862941e-18  8.02862941e-18 
 4.00000000e-10  8.02862941e-18  8.02862941e-18 
 8.00000000e-10  8.02862941e-18  8.02862941e-18 
 1.60000000e-09  4.16933485e-18  4.16933485e-18 
 3.20000000e-09  2.12571155e-18  2.12571155e-18 
 6.40000000e-09  1.07342286e-18  1.07342286e-18 
 1.28000000e-08  5.39392795e-19  5.39392795e-19 
 2.56000000e-08  2.70371775e-19  2.70371775e-19 
 4.56000000e-08  4.05923609e-19  4.05923609e-19 
 6.56000000e-08  4.05923609e-19  4.05923609e-19 
 8.56000000e-08  4.05923609e-19  4.05923609e-19 
 1.05600000e-07  4.05923609e-19  4.05923609e-19 
 1.25600000e-07  4.05923609e-19  4.05923609e-19 
 1.45600000e-07  4.05923609e-19  4.05923609e-19 
 1.65600000e-07  4.05923609e-19  4.05923609e-19 
 1.85600000e-07  4.05923609e-19  4.05923609e-19 
 2.05600000e-07  4.05923609e-19  4.05923609e-19 
 2.25600000e-07  4.05923609e-19  4.05923609e-19 
 2.45600000e-07  4.05923609e-19  4.05923609e-19 
 2.65600000e-07  4.05923609e-19  4.05923609e-19 
 2.85600000e-07  4.05923609e-19  4.05923609e-19 
 3.05600000e-07  4.05923609e-19  4.05923609e-19 
 3.25600000e-07  4.05923609e-19  4.05923609e-19 
 3.45600000e-07  4.05923609e-19  4.05923609e-19 
 3.65600000e-07  4.05923609e-19  4.05923609e-19 
 3.85600000e-07  4.05923609e-19  4.05923609e-19 
 4.05600000e-07  4.05923609e-19  4.05923609e-19 
 4.25600000e-07  4.05923609e-19  4.05923609e-19 
 4.45600000e-07  4.05923609e-19  4.05923609e-19 
 4.65600000e-07  4.05923609e-19  4.05923609e-19 
 4.85600000e-07  4.05923609e-19  4.05923609e-19 
 5.05600000e-07  4.05923609e-19  4.05923609e-19 
 5.25600000e-07  4.05923609e-19  4.05923609e-19 
 5.45600000e-07  4.05923609e-19  4.05923609e-19 
 5.65600000e-07  4.05923609e-19  4.05923609e-19 
 5.85600000e-07  4.05923609e-19  4.05923609e-19 
 6.05600000e-07  4.05923609e-19  4.05923609e-19 
 6.25600000e-07  4.05923609e-19  4.05923609e-19 
 6.45600000e-07  4.05923609e-19  4.05923609e-19 
 6.65600000e-07  4.05923609e-19  4.05923609e-19 
 6.85600000e-07  4.05923609e-19  4.05923609e-19 
 7.05600000e-07  4.05923609e-19  4.05923609e-19 
 7.25600000e-07  4.05923609e-19  4.05923609e-19 
 7.45600000e-07  4.05923609e-19  4.05923609e-19 
 7.65600000e-07  4.05923609e-19  4.05923609e-19 
